id,aligned,n_revisions,human_explanation,llm_explanation,human_n_explanation,llm_n_explanation,human_n_statements,llm_n_statements,human_statement_char_length,human_statement_token_length,llm_statement_char_length,llm_statement_token_length,human_explanation_char_length,human_explanation_token_length,llm_explanation_char_length,llm_explanation_token_length,human_explanation_avg_char_length,human_explanation_avg_token_length,llm_explanation_avg_char_length,llm_explanation_avg_token_length,source,errant_error_type
fce_test_43,I am {=>a} representative of our class {in=>writing to you at} your college {to write to you=>} .,3,"- The indefinite article ""a"" was inserted because an article is typically used in ""I am"" + noun phrases.
- The phrase ""to write to you"" was removed, substituting the ""in"" with the phrase ""writing to you at."" for conciseness and fluency.","- Adding the indefinite article 'a' before 'representative' makes the sentence grammatically correct.
- Changing 'in your college to write to you' to 'writing to you at your college' makes the sentence clearer and more fluent.",explanation_2,explanation_1,2,2,"[102, 129]","[23, 31]","[99, 122]","[17, 27]",231,54,221,44,115.5,27.0,110.5,22.0,fce,"['M:DET', 'U:OTHER', 'R:VERB:FORM', 'M:OTHER']"
wiki_test_614,"Even though he was not one of the original "" {once hermano=>Once Hermanos} "" or "" {eleventh brother=>Eleven Brothers ,} "" Horacio Casarìn {,=>} was {one=>once} a {formatable=>formidable} player in the Mexican league national ranks , {Casarin=>Casarin's} great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .",6,"- Capitalized proper nouns.
- An unnecessary comma was removed.
- ""once"" was mistaken with ""one.""
- ""formatable"" should be spelled ""formidable.""
- ""Casarin"" needed to be possessive.","- ""Once hermano"" and ""eleventh brother"" were capitalized to match the correct names.
- ""Formatable"" was a misspelling and was corrected to ""formidable.""
- A missing word ""once"" was inserted to complete the phrase ""was once a formidable player.""
- The possessive form ""Casarin's"" was used to show ownership of ""great ability and qualities as a striker.""",explanation_1,explanation_2,5,4,"[25, 33, 31, 44, 34]","[4, 6, 10, 10, 8]","[82, 65, 89, 105]","[17, 14, 20, 23]",167,38,341,74,33.4,7.6,85.25,18.5,wiki,"['R:ORTH', 'R:SPELL', 'R:OTHER', 'R:MORPH', 'M:PUNCT', 'U:PUNCT', 'R:SPELL', 'R:SPELL', 'R:SPELL']"
wiki_test_329,"The "" Myth and {ritual school=>Ritual School} "" is the name given to a series of authors that have focused their philological studies on the "" ritual purposes of {myths .=>myths. ""}",2,"- In American English, punctuation always goes inside a closing quotation.
- ""Myth and Ritual School"" is a proper noun and should be capitalized.","- ""ritual school"" was changed to ""Ritual School"" to follow proper capitalization rules for a proper noun.
- A period was added to the end of the sentence for proper punctuation.",explanation_1,explanation_2,2,2,"[72, 68]","[12, 15]","[103, 69]","[21, 14]",140,27,172,35,70.0,13.5,86.0,17.5,wiki,"['R:ORTH', 'R:NOUN', 'R:PUNCT']"
wiki_test_460,"While Euclidean geometry , the Standard Model and general relativity are all compatible with any number of spatial dimensions and any specification as to which of these {=>,} if any {=>,} are compactified ( see string theory ) {,=>;} and while all {bar=>but} Euclidean geometry ( which does not distinguish space from time ) insist on exactly one temporal dimension , proposed alternatives , none of which are yet part of scientific consensus , differ significantly in their predictions {=>,} or lack thereof {=>,} as to these details of space-time .",6,"- Two commas were inserted on either side of 'if any' to set it apart from the other parts of the sentence.
- A comma was changed to a semicolon to create two separate sentences. This is a stylistic revision that helps to avoid extra-long sentences.
- 'Bar' was changed to 'but.' This is the appropriate word choice and improves fluency.
- Two commas were inserted on either side of 'or lack thereof' to set it apart from the other parts of the sentence.","- Commas were added and changed to semicolons to separate and clarify the two main clauses of the sentence.
- ""bar"" was changed to ""but"" for better fluency.
- ""predictions"" and ""lack thereof"" were separated by commas for clarity.",explanation_1,explanation_2,4,3,"[105, 139, 85, 114]","[24, 27, 20, 25]","[105, 46, 70]","[19, 13, 15]",443,96,221,47,110.75,24.0,73.66666666666667,15.666666666666666,wiki,"['M:PUNCT', 'M:PUNCT', 'R:PUNCT', 'R:OTHER', 'M:PUNCT', 'M:PUNCT']"
wiki_dev_1,There {xere importants=>were important} rugby matches in the Stadium .,1,"- Corrected misspellings of ""were"" and ""important.""","- ""Xere"" is not a word in English, so it was replaced with ""were.""
- ""Importants"" was corrected to ""important"" to match the correct adjective form.",explanation_1,explanation_2,1,2,[49],[11],"[64, 78]","[19, 16]",49,11,142,35,49.0,11.0,71.0,17.5,wiki,"['R:SPELL', 'R:MORPH']"
wiki_test_382,"He was , subsequently , promoted to the senior squad on a {permanant=>permanent} basis and assigned the number 23 shirt .",1,"- ""permanant"" should be spelled ""permanent.""","- ""Permanant"" was corrected to the correct spelling of ""permanent.""",explanation_2,explanation_1,1,1,[42],[10],[65],[14],42,10,65,14,42.0,10.0,65.0,14.0,wiki,['R:SPELL']
fce_test_65,Is it {=>a} very expensive area ?,1,"- Because ""very expensive area"" is a noun phrase, an article is needed.","- ""a"" is added because ""area"" is a countable noun and requires an article.",explanation_1,explanation_2,1,1,[69],[16],[72],[18],69,16,72,18,69.0,16.0,72.0,18.0,fce,['M:DET']
fce_test_490,We can love them without disturbing {=>them} too .,1,"- ""Them"" added after ""disturbing."" Typically the verb ""disturb"" needs a direct object to come after it.","- The pronoun ""them"" is needed to complete the sentence and clarify what is being loved without disturbance.",explanation_2,explanation_1,1,1,[101],[24],[106],[20],101,24,106,20,101.0,24.0,106.0,20.0,fce,['M:PRON']
wiki_test_716,"Creative Directors rise to become Executive Creative Directors , a position with executive {reponsibility=>responsibility} for the entire creative department .",1,"- A spelling error was corrected. The correct spelling is ""responsibility.""","- There was just one spelling error, which was corrected.",explanation_2,explanation_1,1,1,[73],[14],[55],[11],73,14,55,11,73.0,14.0,55.0,11.0,wiki,['R:SPELL']
fce_dev_381,"ENGLISH : {the=>The} classroom is {beautifull=>beautiful} , and {in the same day=>} we do a lot of {diferents=>different} activities {=>in the same day} , so it wo n't be boring watching it because we can have a great time there .",5,"- As the start of the sentence, ""the"" has been capitalized.
- ""beautifull"" should be spelled ""beautiful.""
- ""diferents"" should be spelled ""different.""
- ""in the same day"" has been moved to improve clarity.","- ""the"" was capitalized to follow capitalization rules in English.
- ""beautifull"" was corrected to ""beautiful"" for spelling.
- ""in the same day"" was moved to follow grammar rules for word order in English.
- ""diferents"" was corrected to ""different"" for spelling.",explanation_1,explanation_2,4,4,"[57, 43, 42, 52]","[14, 10, 10, 13]","[64, 55, 78, 54]","[12, 12, 18, 12]",194,47,251,54,48.5,11.75,62.75,13.5,fce,"['R:ORTH', 'R:SPELL', 'U:OTHER', 'R:SPELL', 'M:OTHER']"
wiki_dev_693,Represents Jews as {vicitms=>victims} .,1,- This edit corrects the spelling of 'victims.',"- The spelling of ""victims"" is corrected.",explanation_2,explanation_1,1,1,[45],[10],[39],[9],45,10,39,9,45.0,10.0,39.0,9.0,wiki,['R:SPELL']
fce_dev_532,The case of {the=>} Princess Diana showed how this problem can reach such extremities .,1,"- ""The"" was removed because names do not typically need articles such as ""the"" or ""a.""","- The definite article ""the"" was removed because it is not necessary when referring to Princess Diana.",explanation_1,explanation_2,1,1,[84],[21],[100],[19],84,21,100,19,84.0,21.0,100.0,19.0,fce,['U:DET']
fce_dev_286,I also helped {in=>with} the lighting and studio equipment .,1,"- ""in"" was replaced with ""with"" after ""helped"" because they collocate.","- ""Helped in"" is not the correct phrasing for assisting with equipment. ""Helped with"" is a more accurate and natural way to describe the action.",explanation_2,explanation_1,1,1,[68],[17],[142],[30],68,17,142,30,68.0,17.0,142.0,30.0,fce,['R:PREP']
fce_test_416,"So I am very grateful to {man ,=>the person} who invented it {, unfornutely=>. Unfortunately} , I have forgotten his name .",2,"- A comma was changed to a period to signal the end of the sentence. ""Unfortunately"" was capitalized because it is at the beginning of a sentence, and ""unfornutely"" was changed because it is a misspelling of ""unfortunately.""","- ""Man"" was changed to ""the person"" to improve the sentence's gender neutrality.
- The comma was removed and ""unfortunately"" was capitalized to adhere to English grammar rules and improve fluency.
- ""His"" was changed to ""the person's"" to avoid assuming the inventor's gender.",explanation_1,explanation_2,1,3,[222],[46],"[78, 113, 76]","[18, 20, 19]",222,46,267,57,222.0,46.0,89.0,19.0,fce,"['R:OTHER', 'R:PUNCT', 'R:SPELL']"
fce_test_707,Another disappointing thing was that you did not explain the reason why it was delayed {by=>until} 20 : 15 .,1,"- ""By"" replaced with ""until."" When talking about the end of a span of time, ""until"" is the correct preposition.","- ""By"" implies that the delay ended at 20:15, while ""until"" implies that the delay continued until 20:15. Given the context, ""until"" is the correct word choice.",explanation_2,explanation_1,1,1,[109],[28],[158],[36],109,28,158,36,109.0,28.0,158.0,36.0,fce,['R:PREP']
fce_dev_44,Can I {change=>exchange} money on the campus ?,1,"- ""Change"" is replaced with ""exchange"" as it is more frequently used to discuss money.","- ""Exchange"" is the correct verb to use when referring to converting one currency to another.",explanation_2,explanation_1,1,1,[84],[19],[91],[18],84,19,91,18,84.0,19.0,91.0,18.0,fce,['R:VERB']
wiki_dev_270,"He took part in the Polish September Campaign in 1939 {,=>;} then he broke through to {the=>} Great Britain .",2,"- The comma was replaced by a semicolon to separate two complete sentences.
- ""The"" was removed before ""Great Britain."" This country name does not require an article.","-  A semicolon is more appropriate than a comma here as it separates two independent clauses. 
-  ""The"" is unnecessary in this context. ",explanation_1,explanation_2,2,2,"[73, 88]","[13, 20]","[92, 39]","[17, 10]",161,33,131,27,80.5,16.5,65.5,13.5,wiki,"['R:PUNCT', 'U:DET']"
wiki_dev_863,"Pepsi Cola is a carbonated beverage that is produced and manufactured by {coka cola com.It=>Coca Cola Co. It} is sold in stores , restaurants {=>,} and {from=>} vending machines .",3,"- The spelling error was not completely corrected. The correct spelling is ""Coca-Cola.""
- A space was added after the period in keeping with writing style guidelines.
- An Oxford comma was added after the penultimate item in the list, immediately before the ""and."" This is a style edit, not grammatically required.
- The preposition ""from"" was deleted because the nouns ""stores, "" ""restaurants, ""and vending machines"" are in a parallel series, and all of them  use the same correct preposition ""in.""","- ""coka cola com."" was corrected to ""Coca Cola Co."" as it is the correct name of the company.
- A comma was added before the final item in a list of three or more items.
- ""From"" was removed as it is not necessary and redundant in this context.",explanation_2,explanation_1,4,3,"[85, 76, 145, 182]","[18, 14, 30, 42]","[91, 73, 72]","[24, 17, 16]",488,104,236,57,122.0,26.0,78.66666666666667,19.0,wiki,"['R:SPELL', 'R:ORTH', 'R:NOUN', 'M:PRON', 'M:PUNCT', 'U:PREP']"
wiki_dev_513,This {doccument=>document} outlined the basic demands and ideals of the modern American feminist movement .,1,"- ""doccument"" is a misspelling of ""document.""","- ""doccument"" was corrected to ""document"" to fix a spelling error.",explanation_1,explanation_2,1,1,[43],[11],[64],[15],43,11,64,15,43.0,11.0,64.0,15.0,wiki,['R:SPELL']
wiki_dev_95,"Their wedding is set in Shangri-La County , Diqing in Yunnan ( Chinese {:=>} 云南迪庆州香格里拉 ) {.Shangri-La=>. Shangri-La} is famous for its natural scenery and is called "" somewhere most close to paradise {"" .=>.""}",3,"- A space is required after a period.
- The period at the end is placed inside the quotes as is standard in American English","- The colon after ""Chinese"" is unnecessary and was removed.
- A period was added to the end of the sentence for proper punctuation.
- The curly brackets and arrows were added to show where the changes were made.",explanation_1,explanation_2,2,3,"[35, 84]","[8, 16]","[57, 69, 77]","[12, 14, 15]",119,24,203,41,59.5,12.0,67.66666666666667,13.666666666666666,wiki,"['U:PUNCT', 'R:ORTH', 'R:PUNCT']"
fce_test_597,"All the rubbish , dust , dirty dishes , plates , {=>and} caps will be washed and cleaned {automaticly=>automatically} .",2,"- A word like ""and"" or ""or"" is needed before the last item in a list.
- Spelling of ""automatically"" corrected.","- ""And"" is needed before the final item in a list.
- ""Automatically"" is the correct adverb form to describe how the washing and cleaning will be done.",explanation_1,explanation_2,2,2,"[67, 38]","[20, 7]","[48, 97]","[13, 19]",105,27,145,32,52.5,13.5,72.5,16.0,fce,"['M:CONJ', 'R:SPELL']"
fce_dev_355,I am so excited by {the=>this} news .,1,"- ""the"" was replaced with ""this"" to add specificity.","- ""The"" is a general article, while ""this"" is a specific article. Since the sentence is referring to a particular piece of news, ""this"" is more appropriate.",explanation_2,explanation_1,1,1,[50],[13],[154],[36],50,13,154,36,50.0,13.0,154.0,36.0,fce,['R:DET']
wiki_dev_176,"Bourne is next seen on a train {travelling=>, traveling} from France to Switzerland , with the device containing the information regarding the Swiss bank account in his hand .",1,"- ""Traveling"" is the American English standard of spelling for ""travelling.""","- ""Travelling"" was changed to ""traveling"" to adhere to American English spelling conventions.
- A comma was added after ""train"" to improve clarity and fluency.",explanation_1,explanation_2,1,2,[74],[15],"[91, 63]","[17, 14]",74,15,154,31,74.0,15.0,77.0,15.5,wiki,"['M:PUNCT', 'R:VERB:FORM']"
wiki_test_605,"As the following discussion {demonstrate=>demonstrates} , these HPCs will be both high {=>-} strength and highly durable , in contrast to HPCs made from Portland cement {=>,} which can have moderate to challenging durability impairments .",3,"- ""demonstrate"" was changed to ""demonstrates"" to agree with the subject
- A hyphen was inserted in compound adjective ""high-strength""
- A comma was added to separate clauses in the sentence.","- ""Demonstrate"" is corrected to agree with the subject ""discussion.""
- A hyphen is added between ""high"" and ""strength"" to create a compound adjective.
- A comma is added before ""which"" to set off the dependent clause.",explanation_2,explanation_1,3,3,"[69, 59, 54]","[14, 12, 11]","[66, 79, 64]","[14, 18, 15]",182,37,209,47,60.66666666666666,12.333333333333334,69.66666666666667,15.666666666666666,wiki,"['R:VERB:SVA', 'M:PUNCT', 'M:PUNCT']"
fce_test_678,"Who {of you=>} could imagine life without the telephone ? Not being able to call your friend and ask if you can pop in for a moment ? Not being able to lie to your mother-in-law and pretend you ca n't attend her garden party because of an illness , without having to look her in the eye ?",1,"- The expression ""Who of you"" is awkward and stilted. So ""of you"" is deleted to create a more direct question, ""Who could imagine...""","- The phrase ""of you"" is unnecessary and can be removed without changing the meaning of the sentence.",explanation_1,explanation_2,1,1,[131],[32],[99],[20],131,32,99,20,131.0,32.0,99.0,20.0,fce,['U:OTHER']
wiki_dev_293,"As premier {=>,} he had signed the "" 2 + 4 "" treaty which ended the four wartime allied powers ' rights and responsibilities in Berlin and Germany , {and=>} which preceded the unification .",2,"- This is an introductory phrase, so it should be followed by a comma.
- An ungrammatical ""and"" is removed.","- A comma was added after the introductory phrase ""As premier.""
- The conjunction ""and"" was changed to ""which"" to avoid repeating the word ""and"" and to improve sentence flow.",explanation_1,explanation_2,2,2,"[68, 34]","[15, 8]","[61, 108]","[13, 25]",102,23,169,38,51.0,11.5,84.5,19.0,wiki,"['M:PUNCT', 'U:CONJ']"
fce_test_738,"First {off=>of} all {=>,} I would like to say that it {has=>} started later than it {should=>was supposed} to {,=>.} I had to wait for about {fourty-five=>forty-five} minutes .",6,"- A comma is inserted to conclude an introductory phrase.
- ""Has"" was removed and ""was supposed"" replaced ""should""  because the original phrases implied the event is ongoing; however, later information makes it clear the event took place in the past.
- ""Forty-five"" is the correct spelling of ""fourty-five.""","- ""Off"" was changed to ""of"" to correct the preposition usage.
- ""Has"" was changed to ""started"" to match the past tense in the second clause.
- ""Should"" was changed to ""was supposed to"" to convey a more accurate meaning of what was expected.
- A comma was added after ""First of all"" to separate it from the next clause.
- ""Fourty-five"" was changed to ""forty-five"" to correct the spelling.",explanation_1,explanation_2,3,5,"[55, 190, 54]","[10, 40, 16]","[59, 76, 97, 75, 66]","[15, 19, 22, 18, 18]",299,66,373,92,99.66666666666669,22.0,74.6,18.4,fce,"['R:PREP', 'M:PUNCT', 'U:VERB:TENSE', 'R:VERB', 'R:PUNCT', 'R:ADJ']"
wiki_test_338,"The hatred built inside the halberd {combind=>, combined} with the power of 2 {shikon shards=>Shikon shards,} creates a huge and powerful ball of swirling anger and fire .",2,"- The misspelling ""combind"" was correct to ""combined.""
- ""Shikon"" was capitalized as it is a proper noun.","- A comma was inserted after ""halberd"" to separate two clauses.
- ""combind"" was corrected to ""combined.""
- The proper noun ""Shikon"" was capitalized.",explanation_1,explanation_2,2,3,"[52, 48]","[12, 12]","[61, 38, 41]","[13, 10, 9]",100,24,140,32,50.0,12.0,46.66666666666666,10.666666666666666,wiki,"['M:PUNCT', 'R:SPELL', 'R:ORTH', 'R:NOUN']"
fce_dev_686,"So we will have free time on the afternoon of {the=>March} 14th {March=>,} and we can spend this time {enjoy=>enjoying} the show .",3,"- ""the 14th March"" replaced with ""March 14th"" for fluency.
- A comma is usually used between two full sentences joined by a word like ""and.""
- The form of the verb ending in ""ing"" is needed after phrases like ""spend the time.""","- 'the' before 'March' is unnecessary and unnatural. The correct way to write a date in American English is ""March 14th.""
- A comma is needed to separate the date from the rest of the sentence. 'enjoying' is used instead of 'enjoy' to make the verb agree with the subject 'we.'",explanation_1,explanation_2,3,2,"[56, 79, 83]","[14, 18, 21]","[119, 153]","[28, 37]",218,53,272,65,72.66666666666667,17.666666666666668,136.0,32.5,fce,"['U:DET', 'R:WO', 'M:PUNCT', 'R:VERB:FORM']"
wiki_test_848,"For more than 100 {year=>years} , Walther has created major breakthroughs in the development of pistols .",1,- The noun was pluralized to maintain number agreement.,"- ""Year"" was changed to the plural ""years"" to match the time frame of ""more than 100.""",explanation_2,explanation_1,1,1,[53],[9],[84],[23],53,9,84,23,53.0,9.0,84.0,23.0,wiki,['R:NOUN:NUM']
fce_dev_762,"{But if=>If} you do n't like children and are not easy-going enough to work as a waiter {=>,} you may {chose=>choose} a more {pieceful=>peaceful} job {of=>as} a typist at home .",5,"- ""But"" was removed from the beginning of the sentence. This is a stylistic revision.
- A comma was inserted after ""waiter"" to mark the end of a clause beginning with ""if."" Conditional clauses such as these should be followed with a comma if they begin the sentence.
- ""Chose"" is replaced with the present tense ""choose.""
- ""Peaceful"" is the correct spelling of ""pieceful.""
- ""As"" replaces ""of."" ""As"" is used to mean ""like"" in this phrase.","- ""But if"" was changed to ""If"" to improve fluency.
- A comma was inserted to mark the conditional clause.
- ""Chose"" was changed to ""choose"" to correct the verb form.
- ""Pieceful"" was changed to ""peaceful"" to correct the spelling error.
- ""Of"" was changed to ""as"" to improve fluency.",explanation_2,explanation_1,5,5,"[83, 178, 52, 49, 63]","[18, 38, 13, 12, 22]","[48, 52, 57, 67, 44]","[14, 10, 15, 15, 13]",425,103,268,67,85.0,20.6,53.6,13.4,fce,"['U:CONJ', 'M:PUNCT', 'R:VERB', 'R:SPELL', 'R:PREP']"
