id,aligned,explanations,comments,non_annotatable,why_Nann
wiki_dev_735,"{Single-Player=>Single-player} mode is rated by Pegi international as a 13 + game , {whilst=>while} the multiplayer mode is unrated .","- Changing ""Single-Player"" to ""Single-player"" aligns with American English capitalization rules.",,False,
wiki_dev_735,"{Single-Player=>Single-player} mode is rated by Pegi international as a 13 + game , {whilst=>while} the multiplayer mode is unrated .","- ""while"" is the American English spelling.",,False,
fce_dev_181,Why do you put {=>that} on the paper then ?,"-'Put' requires a direct object, so 'that' was inserted to make the sentence grammatical.",,False,
fce_test_630,"First of all {=>,} I recommend you {to=>} go on the 8 a.m. boat .",- A comma was added to adhere to English grammar rules.,,False,
fce_test_630,"First of all {=>,} I recommend you {to=>} go on the 8 a.m. boat .","- ""to"" was deleted because it is not needed before the verb ""go.""",,False,
fce_test_202,"During the afternoon , Tim and {me=>I} spent the hours before the {concer laying on=>concert playing in} the park next to the sport hall where the concert was to be held .",- The pronoun was changed to be grammatical.,,False,
fce_test_202,"During the afternoon , Tim and {me=>I} spent the hours before the {concer laying on=>concert playing in} the park next to the sport hall where the concert was to be held .",- Three spelling errors were corrected.,,False,
fce_dev_238,"The first thing that annoyed me {=>,} were the forty-five minutes we {were waiting=>waited} for the beginning .",- A comma was added after the introductory phrase.,,False,
fce_dev_238,"The first thing that annoyed me {=>,} were the forty-five minutes we {were waiting=>waited} for the beginning .",- The tense was changed to match the tense of the rest of the sentence.,,False,
wiki_dev_291,"Hitler 's opinion was that abstract , {Dadaist=>dadaist} , expressionist , and modern art were decadent , an opinion that became the basis for policy .","- ""Dadaist"" was de-capitalized to adhere to certain capitalization rules.",this word can be capitalized and not capitalized,False,
wiki_dev_84,Spamming is the abuse of electronic messaging systems {to=>} indiscriminately {send=>sending} unsolicited bulk messages .,,,True,i think these corrections make the sentence less grammatical and harder to read.
wiki_test_178,"He is known for his zany stage show , where he has played the {vacum=>vacuum} , jumped rope with his microphone wire {=>,} and stopped songs to tell the {audiences=>audience} his thoughts on different topics .",-'Vacuum' is spelled with two u's. ,,False,
wiki_test_178,"He is known for his zany stage show , where he has played the {vacum=>vacuum} , jumped rope with his microphone wire {=>,} and stopped songs to tell the {audiences=>audience} his thoughts on different topics .",-This edit inserts an Oxford comma.,,False,
wiki_test_178,"He is known for his zany stage show , where he has played the {vacum=>vacuum} , jumped rope with his microphone wire {=>,} and stopped songs to tell the {audiences=>audience} his thoughts on different topics .",-The singular form of the word is more typical in this context.,,False,
fce_test_458,"First of all , you must invite artists and stars from more countries around the world , because there {are people=>were} only {from=>} six countries {=>represented} .","- Changing ""are people"" to ""were"" corrects the tense of the sentence.",,False,
fce_test_458,"First of all , you must invite artists and stars from more countries around the world , because there {are people=>were} only {from=>} six countries {=>represented} .","- Removing ""from"" and adding ""represented"" complete the sentence given the first change.",,False,
fce_dev_664,"It was dangerous {=>,} but I knew I had to do it .",- A comma was added before 'but' to join two independent clauses,,False,
fce_test_750,{And what=>What} is the weather like ?,"- Removing ""And"" follows traditional grammar rules, but it is okay to start a sentence with a conjunction depending on the audience.",,False,
wiki_dev_315,"Driscoll suggests {to=>} going to Whitewood , where the events surrounding Elizabeth Selwyn actually happened , and suggests she stay at a hotel {call=>called} the Raven 's Inn .",-This 'to' is ungrammatical with 'going.',,False,
wiki_dev_315,"Driscoll suggests {to=>} going to Whitewood , where the events surrounding Elizabeth Selwyn actually happened , and suggests she stay at a hotel {call=>called} the Raven 's Inn .",-The past participle 'called' should be used in this context instead of 'call.',,False,
wiki_test_568,"Thus , LPLs have a free alcohol in either {=>,} the sn-1 or sn-2 position .",,,True,incorrect
wiki_test_576,"Many black Canadians today are of Caribbean Ancestry , with some of recent African origin {=>,} and smaller numbers from Latin American countries .",- Incorrect,,True,A comma is not needed there.
fce_dev_394,Some people will do crazy things in {situation=>situations} like this .,-'Situation' cannot be left on its own like this without either being plural or receiving an article. An alternative correction would be to insert 'a' before 'situation.',,False,
wiki_test_915,"Over the years Tarkovsky wrote several screenplay variants , at {=>the} time working {together=>} with Aleksandr Misharin .","- ""The"" is added because ""time"" requires an article in this usage.",,False,
wiki_test_915,"Over the years Tarkovsky wrote several screenplay variants , at {=>the} time working {together=>} with Aleksandr Misharin .","- ""together"" is not needed in this sentence because ""with"" is used.",,False,
wiki_dev_887,"According to Statistisk sentralbyrå ( SSB ) {=>,} there were 192 homosexual partnerships recorded in 2004 .",-This non-restrictive clause should have a comma following it.,,False,
wiki_dev_683,"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds {,=>} but remained alive .",-The comma isn't necessary here because what follows is a dependent clause.,,False,
fce_dev_611,Now I hope that you can understand my {question=>request} for some money back because of the trouble I had .,"- ""question"" was changed to ""request"" to fix a lexical error.",,False,
wiki_test_770,"Tipp led by 7 points midway through the half , but Louth , after missing {a=>an earlier} penalty {earlier=>} , scored from their second and made a tight finish .","- The article was changed to account for ""earlier"" starting with a vowel, and ""earlier"" was moved to make the sentence more grammatical.",,False,
wiki_dev_178,Some people have raised concerns that cloud computing could {brake=>break} EU data protection rules .,-This edit substitutes the intended word. 'Brake' means to stop a vehicle.,,False,
fce_dev_551,They {just=>will} look funny !,,,True,This is meaning changing.
fce_dev_527,I {have=>did} not expect it .,"- ""have"" was changed to ""did,"" which is the correct form for English.",,False,
fce_dev_323,Can I wash {any=>my} clothes there ?,-This edit changes the meaning without really benefitting the sentence.,,True,-Bad edit
wiki_test_146,"In addition to his judgeship , between 1896 and 1900 {=>,} Taft also served as the first dean and a {orofessor=>professor} of Constitutional Law at the University of Cincinnati .",-The comma is needed here because this is a nonrestrictive clause.,,False,
wiki_test_146,"In addition to his judgeship , between 1896 and 1900 {=>,} Taft also served as the first dean and a {orofessor=>professor} of Constitutional Law at the University of Cincinnati .",-This edit corrects the spelling of 'professor.',,False,
wiki_test_930,"The Lycée 's secondary school accommodates approximately 309 students on {an=>a} campus in Bethesda , Maryland , from downtown Washington , D.C .",- The article was corrected because it precedes a word that starts with a consonant.,,False,
wiki_test_488,"After some intense public debate {=>,} a local harbor board was established in 1906 {=>,} and a boom in architectural creativity soon followed during which many of the currently listed heritage {buildings St Monicas ,=>buildings, like St. Monica's} Central Hotel {etc=>, etc.} were constructed .",-This edit adds a comma after this introductory phrase.,,False,
wiki_test_488,"After some intense public debate {=>,} a local harbor board was established in 1906 {=>,} and a boom in architectural creativity soon followed during which many of the currently listed heritage {buildings St Monicas ,=>buildings, like St. Monica's} Central Hotel {etc=>, etc.} were constructed .",-This edit adds a comma because two independent clauses are being joined with coordinating conjunction.,,False,
wiki_test_488,"After some intense public debate {=>,} a local harbor board was established in 1906 {=>,} and a boom in architectural creativity soon followed during which many of the currently listed heritage {buildings St Monicas ,=>buildings, like St. Monica's} Central Hotel {etc=>, etc.} were constructed .",-This edit adds a comma and the word 'like' to make this a nonrestrictive clause expanding on what kind of buildings are included.,,False,
wiki_test_488,"After some intense public debate {=>,} a local harbor board was established in 1906 {=>,} and a boom in architectural creativity soon followed during which many of the currently listed heritage {buildings St Monicas ,=>buildings, like St. Monica's} Central Hotel {etc=>, etc.} were constructed .",-This edit adds the necessary period to the abbreviation for et cetera.,,False,
wiki_dev_614,Bridget Flannery ( 1959- ) is an Irish painter working in an abstract {manner=>style} .,"- ""Style"" is more correct when talking about types of art.",,False,
fce_dev_62,"{Activities=>There are activities} connected with the social {programme=>program} such as international evenings , sing along parties {=>,} and indoor games .","- Adding ""There are"" before ""activities"" makes the sentence more grammatical and natural.",,False,
fce_dev_62,"{Activities=>There are activities} connected with the social {programme=>program} such as international evenings , sing along parties {=>,} and indoor games .","- The spelling of ""programme"" to ""program"" was changed to adhere to the American English spelling.",,False,
fce_dev_62,"{Activities=>There are activities} connected with the social {programme=>program} such as international evenings , sing along parties {=>,} and indoor games .",- A comma was added to the list to adhere to the rules of English grammar and certain style guides.,,False,
fce_dev_579,"Firstly , I am a fan of Danny Brook {=>,} so your {advert=>advertisement} attracted me {=>;} but when I went {=>,} there {=>was} a different actor {was=>} in the musical show {instead of him=>} .",-The comma is inserted because two independent clauses are being joined by a coordinating conjunction.,,False,
fce_dev_579,"Firstly , I am a fan of Danny Brook {=>,} so your {advert=>advertisement} attracted me {=>;} but when I went {=>,} there {=>was} a different actor {was=>} in the musical show {instead of him=>} .","-In American English, 'advert' is not used as an abbreviated form of 'advertisement.' 'Ad' would be an alternative, abbreviated form that would work though.",,False,
fce_dev_579,"Firstly , I am a fan of Danny Brook {=>,} so your {advert=>advertisement} attracted me {=>;} but when I went {=>,} there {=>was} a different actor {was=>} in the musical show {instead of him=>} .",-The semicolon replaces the comma here because the two complex independent clauses are being joined without a coordinating conjunction (the but here applies to the structure within the second complex independent clause).,,False,
fce_dev_579,"Firstly , I am a fan of Danny Brook {=>,} so your {advert=>advertisement} attracted me {=>;} but when I went {=>,} there {=>was} a different actor {was=>} in the musical show {instead of him=>} .",-These different changes simplify the sentence structure to the benefit of the sentence.,,False,
fce_dev_842,I was already happy to help {in=>with} such a big concert {than the=>as} Mylene Farmer {'s concert=>} .,"- The preposition ""in"" was changed to ""with"" because that is the correct preposition.",I think the last deletion is incorrect.,False,
fce_dev_842,I was already happy to help {in=>with} such a big concert {than the=>as} Mylene Farmer {'s concert=>} .,"- Since this doesn't seem to be a contrasting sentence, ""as"" is more correct.",I think the last deletion is incorrect.,False,
fce_dev_780,"Secondly , I would like to tell {=>you} more about {=>the} end-of-conference party .","- ""you"" is added because ""tell"" requires a direct object.",,False,
fce_dev_780,"Secondly , I would like to tell {=>you} more about {=>the} end-of-conference party .","- ""the"" was added because an article is needed in this noun phrase.",,False,
fce_dev_700,{it=>It} will be on the 14th and we all want to go .,-The first word in a sentence must be capitalized.,,False,
fce_dev_530,"If you are going shopping {=>,} someone can easily steal your wallet {which=>while} you are looking at {some=>something} interesting {things=>} .",- A comma is inserted after an introductory phrase.,,False,
fce_dev_530,"If you are going shopping {=>,} someone can easily steal your wallet {which=>while} you are looking at {some=>something} interesting {things=>} .",- The spelling error was corrected.,,False,
fce_dev_530,"If you are going shopping {=>,} someone can easily steal your wallet {which=>while} you are looking at {some=>something} interesting {things=>} .","- ""Something interesting"" is more natural and fluent.",,False,
wiki_test_467,"Nerva sought to involve the Senate in his government {, however this=>; however, he} was not entirely successful .",-The comma is replaced by a semicolon because the two joined clauses are independent clauses and there is no coordinating conjunction. A comma is inserted after 'however' because it is an introductory phrase.,,False,
wiki_dev_244,"According to the account by the Chechen fighter {=>,} Dalkhan Kozayev , the attacking forces numbered 42 tanks and 8 BTR-type wheeled APCs , a number of other vehicles , and more than 3,000 men .",- A comma was correctly added after the introductory phrase.,,False,
fce_dev_74,The show can be seen between {10.00=>10 : 00} - {19.00=>7 : 00} .,-The time is rewritten to reflect the standards of American English.,,False,
fce_dev_74,The show can be seen between {10.00=>10 : 00} - {19.00=>7 : 00} .,-The time is rewritten to reflect the standards of American English.,,False,
wiki_test_898,Mulcair later clarified that he had actually been referring to the {rumoured=>rumored} existence of pictures showing Bin Laden reaching for a gun before he was killed .,-'Rumoured' is replaced with 'rumored' to reflect American English spelling conventions.,,False,
wiki_test_215,"Lansky had apparently already obtained the approval of the Duke of Windsor for Lansky 's plans to develop gambling on the islands {,=>} and was working with Christie , a property developer and Bahamian legislator , and other notable Bahamians , including Stafford Sands ( who served as the jury foreman at the de Marigny murder trial ) {)=>} , to bring this about .",-A comma splice is removed.,,False,
wiki_test_215,"Lansky had apparently already obtained the approval of the Duke of Windsor for Lansky 's plans to develop gambling on the islands {,=>} and was working with Christie , a property developer and Bahamian legislator , and other notable Bahamians , including Stafford Sands ( who served as the jury foreman at the de Marigny murder trial ) {)=>} , to bring this about .",-This extra closing parenthesis is deleted.,,False,
wiki_dev_588,"Version 1.02 was released {On=>on December} 5 {December=>,} 2008 .",-'On' should be lowercase here.,,False,
wiki_dev_588,"Version 1.02 was released {On=>on December} 5 {December=>,} 2008 .",-This revision changes the date format to follow the standard in American English.,,False,
fce_test_52,"Yesterday {=>,} as I was arriving home {=>,} I saw him in your yard {=>,} Mack {, he=>. He} looked very satisfied , Curly was laying on the grass {=>,} and ... """,-This comma is necessary because the preceding is an introductory phrase.,,False,
fce_test_52,"Yesterday {=>,} as I was arriving home {=>,} I saw him in your yard {=>,} Mack {, he=>. He} looked very satisfied , Curly was laying on the grass {=>,} and ... """,-This comma is necessary because the preceding is a nonrestrictive clause.,,False,
fce_test_52,"Yesterday {=>,} as I was arriving home {=>,} I saw him in your yard {=>,} Mack {, he=>. He} looked very satisfied , Curly was laying on the grass {=>,} and ... """,-This comma is necessary because what follows is direct address.,,False,
fce_test_52,"Yesterday {=>,} as I was arriving home {=>,} I saw him in your yard {=>,} Mack {, he=>. He} looked very satisfied , Curly was laying on the grass {=>,} and ... """,-This comma is replaced with a period (and the capitalization fixed) because there are two independent clauses without coordinating conjunction. Alternative solutions include replacing the comma with a semicolon or adding 'and' after the comma.,,False,
fce_test_52,"Yesterday {=>,} as I was arriving home {=>,} I saw him in your yard {=>,} Mack {, he=>. He} looked very satisfied , Curly was laying on the grass {=>,} and ... ""","-This comma is added assuming what would follow the and is an independent clause, which may not be the case.",,False,
wiki_dev_645,"Richard Lederer , an author and {=>English} professor {of English=>} , reports going to Germany and asking a vendor for a "" heißen {Hund=>hund} "" ( a literal translation of "" hot dog "" ) .",-This edit changes this phrase to 'English professor' because that is a more typical phrasing.,,False,
wiki_dev_645,"Richard Lederer , an author and {=>English} professor {of English=>} , reports going to Germany and asking a vendor for a "" heißen {Hund=>hund} "" ( a literal translation of "" hot dog "" ) .",-I don't know if this is correct because it is in German.,,False,
wiki_test_407,"Same Difference {were=>was} a British pop duo , made up of siblings Sean and Sarah Smith .","- ""were"" was changed to ""was"" because it should be singular given the subject of the sentence.",,False,
fce_test_775,"To sum up , it is a big school where you have a lot of interesting {lessons=>classes} and some {optionaly=>optional} activities to do in your free time .",-This word fits a bit better in this context.,,False,
fce_test_775,"To sum up , it is a big school where you have a lot of interesting {lessons=>classes} and some {optionaly=>optional} activities to do in your free time .",-'Optional' is the correct word here.,,False,
fce_dev_52,"Obviously , Pat first refused , but then she accepted that she was wrong {=>and apologized to Maria . After that} , {and apologyse Maria , after then=>} Pat never again talked about someone {within=>without} his or her permission .",-This edit fixes the spelling and tense of 'apologize;' it also changes the comma to a period so that the clauses are correctly punctuated.,,False,
fce_dev_52,"Obviously , Pat first refused , but then she accepted that she was wrong {=>and apologized to Maria . After that} , {and apologyse Maria , after then=>} Pat never again talked about someone {within=>without} his or her permission .","-The correct word choice here is 'without,' given the context.",,False,
fce_test_669,"I think {,=>} it was very {cleaver=>clever} of me to record that moment {wich=>, which} I will never {=>,} ever forget , and that was the {think that=>thing} I {more=>} liked {=>the most out} of that experience .",-A comma splice was removed.,,False,
fce_test_669,"I think {,=>} it was very {cleaver=>clever} of me to record that moment {wich=>, which} I will never {=>,} ever forget , and that was the {think that=>thing} I {more=>} liked {=>the most out} of that experience .",-The noun 'cleaver' (which is a tool for cutting meat) was replaced with the adjective 'clever' (which means crafty or smart).,,False,
fce_test_669,"I think {,=>} it was very {cleaver=>clever} of me to record that moment {wich=>, which} I will never {=>,} ever forget , and that was the {think that=>thing} I {more=>} liked {=>the most out} of that experience .",-The spelling of 'which' was corrected and a comma was inserted because it is introducing a nonrestrictive clause.,,False,
fce_test_669,"I think {,=>} it was very {cleaver=>clever} of me to record that moment {wich=>, which} I will never {=>,} ever forget , and that was the {think that=>thing} I {more=>} liked {=>the most out} of that experience .",-A comma splice was removed.,,False,
fce_test_669,"I think {,=>} it was very {cleaver=>clever} of me to record that moment {wich=>, which} I will never {=>,} ever forget , and that was the {think that=>thing} I {more=>} liked {=>the most out} of that experience .",-'Thing' is the correct word choice here instead of 'think.',,False,
fce_test_669,"I think {,=>} it was very {cleaver=>clever} of me to record that moment {wich=>, which} I will never {=>,} ever forget , and that was the {think that=>thing} I {more=>} liked {=>the most out} of that experience .","-The superlative 'most' better fits the intended meaning, and it should follow 'liked' instead of precede it.",,False,
wiki_dev_615,"The .30 Carbine is a smaller and lighter {.30=>. 30} caliber ( 7.62 mm ) pistol round , very different , in both design and performance , from the .30 - '06 used in the Garand .",incorrect,,True,The only edit is incorrect.
fce_test_29,"So {=>,} she asked me to fill her position .","- A comma can be added after ""so"" depending on the style guide being followed.",,False,
wiki_test_28,"He played for several clubs in Brazil , including ( in chronological order ) Coritiba , Santos , Vitória {=>,} and Grêmio , and after that , his destiny is uncertain , and it is unknown if he is {trully=>truly} retired .","-Here, an Oxford comma is added.",,False,
wiki_test_28,"He played for several clubs in Brazil , including ( in chronological order ) Coritiba , Santos , Vitória {=>,} and Grêmio , and after that , his destiny is uncertain , and it is unknown if he is {trully=>truly} retired .",-This edit corrects the spelling of 'truly.',,False,
wiki_dev_49,"{Retrospective abum=>A retrospective album} of early singles called {'=>""} 1234 {=>:} The Early Singles {'=>"" was} released {=>in} 2006 .",-This edit inserts a necessary article for the noun 'retrospective album' and also corrects the spelling.,,False,
wiki_dev_49,"{Retrospective abum=>A retrospective album} of early singles called {'=>""} 1234 {=>:} The Early Singles {'=>"" was} released {=>in} 2006 .","-These two edits correct the album name so that it is enclosed in quotation marks, and it also adds a necessary verb, 'was.'",,False,
wiki_dev_49,"{Retrospective abum=>A retrospective album} of early singles called {'=>""} 1234 {=>:} The Early Singles {'=>"" was} released {=>in} 2006 .","-This edit adds a needed preposition, 'in.'",,False,
wiki_test_416,The {Building=>building} 's original cost of $ 200 million was increased to $ 350 million over the course of construction .,"- ""building"" was de-capitalized to follow capitalization rules for common nouns in English.",,False,
fce_test_314,"I would like to stress that very often famous people become reserved , bad-tempered {=>,} and angry with the world for interfering {into=>in} their lives .",- A comma was added to a list to adhere to certain grammar or style guide rules.,,False,
fce_test_314,"I would like to stress that very often famous people become reserved , bad-tempered {=>,} and angry with the world for interfering {into=>in} their lives .","- ""into"" is not the correct preposition so it was changed to ""in.""",,False,
wiki_test_893,"They have a daughter , Harlow Winter Kate Richie Madden ( born January 11 , 2008 ) {=>,} and a son , Sparrow James Midnight Richie Madden ( born September 9 , 2009 ) .",- A comma was added after a noun phrase that provides more information about the daughter.,,False,
fce_test_320,I hope my recommendations will help you {in the choice of=>choose} a building to visit .,-The original is overly wordy and clunky.,,False,
wiki_test_586,"In 2008 , she was their national ambassador and worked {along side=>alongside} construction companies to build 280 energy efficient homes in a week .",-'Alongside' should be one word.,,False,
fce_test_806,When the show started the person who was acting {it=>} was not Danny Brook and he seemed not to be an actor .,"- ""it"" was removed because unless ""it"" was preceded by ""in,"" it is ungrammatical.",,False,
wiki_test_688,"Since , the Orioles have played {its=>their} home games at Oriole Park at Camden Yards .","-Because 'the Orioles' is plural, this edit corrects 'its' to 'their' in order to ensure the noun and verb agree.",,False,
wiki_dev_59,"{His=>With his} appeal rejected , Cromwell 's veteran troops went on to defeat Scottish armies at the Dunbar and the Worcester .","- ""With"" was added to make the sentence grammatical.",,False,
fce_dev_29,{the=>The} rules at home are very different .,"- ""The"" was capitalized because the first word in a sentence is capitalized in English.",,False,
wiki_test_843,"{Sexes=>The sexes} are similar , but {immatures=>the more immature} are paler and duller .","- The addition of the article ""the"" is corrected here because something specific is being referred to.",,False,
wiki_test_843,"{Sexes=>The sexes} are similar , but {immatures=>the more immature} are paler and duller .","- ""the more immature"" is a correction for a spelling error.",,False,
wiki_dev_528,"Goldsmith stood no chance of victory , but the declaration {made=>created} one {a=>} memorable moment - Mellor lost his seat to the Labour candidate and was taunted by Goldsmith {=>,} who clapped his hands slowly and {chanted=>chanted,} "" {out=>Out} , out , out ! {=>""}",-This edit replaces 'created' for 'made' for stylistic reasons.,,False,
wiki_dev_528,"Goldsmith stood no chance of victory , but the declaration {made=>created} one {a=>} memorable moment - Mellor lost his seat to the Labour candidate and was taunted by Goldsmith {=>,} who clapped his hands slowly and {chanted=>chanted,} "" {out=>Out} , out , out ! {=>""}",-'A' is deleted here because it cannot coexist grammatically with 'one' in this context.,,False,
wiki_dev_528,"Goldsmith stood no chance of victory , but the declaration {made=>created} one {a=>} memorable moment - Mellor lost his seat to the Labour candidate and was taunted by Goldsmith {=>,} who clapped his hands slowly and {chanted=>chanted,} "" {out=>Out} , out , out ! {=>""}",-This edit adds a comma because the following is a nonrestrictive clause.,,False,
wiki_dev_528,"Goldsmith stood no chance of victory , but the declaration {made=>created} one {a=>} memorable moment - Mellor lost his seat to the Labour candidate and was taunted by Goldsmith {=>,} who clapped his hands slowly and {chanted=>chanted,} "" {out=>Out} , out , out ! {=>""}","-Because what follows is a quotation, there needs to be a comma here.",,False,
wiki_dev_528,"Goldsmith stood no chance of victory , but the declaration {made=>created} one {a=>} memorable moment - Mellor lost his seat to the Labour candidate and was taunted by Goldsmith {=>,} who clapped his hands slowly and {chanted=>chanted,} "" {out=>Out} , out , out ! {=>""}","-Because this is the start of a quote, it is capitalized.",,False,
wiki_dev_528,"Goldsmith stood no chance of victory , but the declaration {made=>created} one {a=>} memorable moment - Mellor lost his seat to the Labour candidate and was taunted by Goldsmith {=>,} who clapped his hands slowly and {chanted=>chanted,} "" {out=>Out} , out , out ! {=>""}",-This quote needs closing quotation marks to be grammatical.,,False,
wiki_dev_340,"For $ 500 per week {=>,} he would draw twenty-five sketches in fifteen minutes before live audiences , with a pit band playing a piece called "" Dream of the Rarebit Fiend "" in the background .",- A comma was added after the introductory phrase.,,False,
wiki_test_940,"The oersted is defined as 1000 / 4π ( ≈ 79.5774715 ) ampere-turnss per meter of flux path , in terms of SI units {.=>}",-incorrect: this edit deletes a period for no apparent reason.,,True,-Because the only edit is incorrect.
wiki_test_885,"On some copies of the DVD , as Baltz completes the line , a voice can be heard off-screen saying {=>,} "" Oh , no , no ... "" The ad-lib also compounded Madsen 's reluctance to film the scene to begin with , due to his real-life aversion to violence .",-A comma is needed here before the quotation.,,False,
fce_test_746,The restaurant should {=>be} open until the show {finish=>is finished} .,-This edit inserts 'be' because the restaurant will be in the state of being open for that duration.,,False,
fce_test_746,The restaurant should {=>be} open until the show {finish=>is finished} .,-'Finish' here needs to be corrected to either 'is finished' or 'finishes' to be grammatical.,,False,
wiki_dev_802,"The melodies were arranged for the {fourteen=>fourteenth} member cast by long-time Bruton collaborator Tristan Cosino , who also coached and directed the ensemble .",,,True,it should be fourteen-member
wiki_test_822,"Some Contestants ' Row displays even have video screens ( as used on the UK 's "" Bruce 's Price is Right "" and the recent Australian version in 2003 ) to display bids instead of {toteboards=>tote boards} ( the traditional {toteboard=>tote board} on the US version was manufactured in the 1970 's , and is no longer {=>being} manufactured ) .",-'Tote boards' should be spelled as two words.,,False,
wiki_test_822,"Some Contestants ' Row displays even have video screens ( as used on the UK 's "" Bruce 's Price is Right "" and the recent Australian version in 2003 ) to display bids instead of {toteboards=>tote boards} ( the traditional {toteboard=>tote board} on the US version was manufactured in the 1970 's , and is no longer {=>being} manufactured ) .",-'Tote board' should be spelled as two words.,,False,
wiki_test_822,"Some Contestants ' Row displays even have video screens ( as used on the UK 's "" Bruce 's Price is Right "" and the recent Australian version in 2003 ) to display bids instead of {toteboards=>tote boards} ( the traditional {toteboard=>tote board} on the US version was manufactured in the 1970 's , and is no longer {=>being} manufactured ) .",-This verb construction fits the context better than the original.,,False,
wiki_dev_267,"An example of this {cross referencing=>cross-referencing} is that on the cover of {the MEN everyday , there=>""MEN"" every day . There} is a reference to a news feature or {programme=>program} on Channel M that evening .",-This noun needs to be hyphenated. ,,False,
