original,revised,aligned,id
He started to shine in 2003-04 season with Persepolis where he was used as the defensive midfielder and moved to Esteghlal Ahvaz where he stayed for 4 seasons and had excellent season in 2007-08 seasons where he played the most minuted in the league than any other payer in the league .,"He started to shine in the 2003-04 season with Persepolis , where he was used as the defensive midfielder , and moved to Esteghlal Ahvaz , where he stayed for 4 seasons , and had excellent seasons in 2007-08 , where he played the most minutes of any player in the league .","He started to shine in {=>the} 2003-04 season with Persepolis {=>,} where he was used as the defensive midfielder {=>,} and moved to Esteghlal Ahvaz {=>,} where he stayed for 4 seasons {=>,} and had excellent {season=>seasons} in 2007-08 {seasons=>,} where he played the most {minuted in the league than=>minutes of} any {other payer=>player} in the league .",wiki_dev_379
I learnt from you letter that I 've won the first prize .,I learned from your letter that I 've won the first prize .,I {learnt=>learned} from {you=>your} letter that I 've won the first prize .,fce_test_215
"I think that it will has a similar structure but it will include some new technological advantages like having all the house controlled by a computer so that , for example , we can turn on the lights of the bedroom just pressing a button while we are watching the TV sitting on the sofa .","I think that it will have a similar structure but will include some new technological advantages , like having the whole house controlled by a computer so that , for example , we can turn on the lights in the bedroom just by pressing a button while we are watching TV sitting on the sofa .","I think that it will {has=>have} a similar structure but {it=>} will include some new technological advantages {=>,} like having {all=>} the {=>whole} house controlled by a computer so that , for example , we can turn on the lights {of=>in} the bedroom just {=>by} pressing a button while we are watching {the=>} TV sitting on the sofa .",fce_test_391
"A similar sentence with visual predicates is claimed to be , "" I can see it clearly "" , or with auditory predicates , "" That sounds right to me .","A similar sentence with visual predicates is claimed to be , "" I can see it clearly ,"" or with auditory predicates , "" That sounds right to me. ""","A similar sentence with visual predicates is claimed to be , "" I can see it clearly {"" ,=>,""} or with auditory predicates , "" That sounds right to {me .=>me. ""}",wiki_test_537
"Once students have taken a shower after a hard physical training they come to real life , depending on their levels they have to study for instance languages wich I personally find very important for a person working in the tourism field because these enables stuff to communicate with clients in a proper way , students have to manage to speak at least three languages .","Once students have taken a shower after hard physical training , they come to life . Depending on their level , they have to study , for instance , languages , which I personally find very important for a person working in the tourism field because it enables staff to communicate with clients in a proper way . Students have to manage to speak at least three languages .","Once students have taken a shower after {a=>} hard physical training {=>,} they come to {real=>} life {, depending=>. Depending} on their {levels=>level ,} they have to study {=>,} for instance {=>,} languages {wich=>, which} I personally find very important for a person working in the tourism field because {these=>it} enables {stuff=>staff} to communicate with clients in a proper way {, students=>. Students} have to manage to speak at least three languages .",fce_dev_695
Carrots have also been proven to show improvements in many areas of health such as improved vision as well as lowering your risk of cancer by lowering cholesterol levels in the body .,Carrots have also been proven to benefit many areas of health such as improving vision as well as lowering your risk of cancer by lowering cholesterol levels in the body .,Carrots have also been proven to {show improvements in=>benefit} many areas of health such as {improved=>improving} vision as well as lowering your risk of cancer by lowering cholesterol levels in the body .,wiki_test_396
"American style guides , including those published by the Associated Press and the Modern Language Association , require capitalization where the colon is followed by an independent clause ( i.e.","American style guides , including those published by the Associated Press and the Modern Language Association , require capitalization where the colon is followed by an independent clause . ( i.e.","American style guides , including those published by the Associated Press and the Modern Language Association , require capitalization where the colon is followed by an independent clause {=>.} ( i.e.",wiki_test_935
"We know what you have done and your dog will be sold "" .","We know what you have done and your dog will be sold . ""","We know what you have done and your dog will be sold {=>.} "" {.=>}",fce_test_677
"Single-Player mode is rated by Pegi international as a 13 + game , whilst the multiplayer mode is unrated .","Single-player mode is rated by Pegi international as a 13 + game , while the multiplayer mode is unrated .","{Single-Player=>Single-player} mode is rated by Pegi international as a 13 + game , {whilst=>while} the multiplayer mode is unrated .",wiki_dev_735
Why do you put on the paper then ?,Why do you put that on the paper then ?,Why do you put {=>that} on the paper then ?,fce_dev_181
Every person in the world looks for technology everyday to improve the way they live their own life .,Every person in the world looks to technology everyday to improve the way they live their own life .,Every person in the world looks {for=>to} technology everyday to improve the way they live their own life .,fce_test_639
First of all I recommend you to go on the 8 a.m. boat .,"First of all , I recommend you go on the 8 a.m. boat .","First of all {=>,} I recommend you {to=>} go on the 8 a.m. boat .",fce_test_630
"During the afternoon , Tim and me spent the hours before the concer laying on the park next to the sport hall where the concert was to be held .","During the afternoon , Tim and I spent the hours before the concert playing in the park next to the sport hall where the concert was to be held .","During the afternoon , Tim and {me=>I} spent the hours before the {concer laying on=>concert playing in} the park next to the sport hall where the concert was to be held .",fce_test_202
The first thing that annoyed me were the forty-five minutes we were waiting for the beginning .,"The first thing that annoyed me , were the forty-five minutes we waited for the beginning .","The first thing that annoyed me {=>,} were the forty-five minutes we {were waiting=>waited} for the beginning .",fce_dev_238
"Hitler 's opinion was that abstract , Dadaist , expressionist , and modern art were decadent , an opinion that became the basis for policy .","Hitler 's opinion was that abstract , dadaist , expressionist , and modern art were decadent , an opinion that became the basis for policy .","Hitler 's opinion was that abstract , {Dadaist=>dadaist} , expressionist , and modern art were decadent , an opinion that became the basis for policy .",wiki_dev_291
Spamming is the abuse of electronic messaging systems to indiscriminately send unsolicited bulk messages .,Spamming is the abuse of electronic messaging systems indiscriminately sending unsolicited bulk messages .,Spamming is the abuse of electronic messaging systems {to=>} indiscriminately {send=>sending} unsolicited bulk messages .,wiki_dev_84
"He is known for his zany stage show , where he has played the vacum , jumped rope with his microphone wire and stopped songs to tell the audiences his thoughts on different topics .","He is known for his zany stage show , where he has played the vacuum , jumped rope with his microphone wire , and stopped songs to tell the audience his thoughts on different topics .","He is known for his zany stage show , where he has played the {vacum=>vacuum} , jumped rope with his microphone wire {=>,} and stopped songs to tell the {audiences=>audience} his thoughts on different topics .",wiki_test_178
"First of all , you must invite artists and stars from more countries around the world , because there are people only from six countries .","First of all , you must invite artists and stars from more countries around the world , because there were only six countries represented .","First of all , you must invite artists and stars from more countries around the world , because there {are people=>were} only {from=>} six countries {=>represented} .",fce_test_458
"The performances were great , but some halls were too small to accomodate so many people there were that day .","The performances were great , but some halls were too small to accommodate as many people as there were that day .","The performances were great , but some halls were too small to {accomodate so=>accommodate as} many people {=>as} there were that day .",fce_test_62
It was dangerous but I knew I had to do it .,"It was dangerous , but I knew I had to do it .","It was dangerous {=>,} but I knew I had to do it .",fce_dev_664
And what is the weather like ?,What is the weather like ?,{And what=>What} is the weather like ?,fce_test_750
"Driscoll suggests to going to Whitewood , where the events surrounding Elizabeth Selwyn actually happened , and suggests she stay at a hotel call the Raven 's Inn .","Driscoll suggests going to Whitewood , where the events surrounding Elizabeth Selwyn actually happened , and suggests she stay at a hotel called the Raven 's Inn .","Driscoll suggests {to=>} going to Whitewood , where the events surrounding Elizabeth Selwyn actually happened , and suggests she stay at a hotel {call=>called} the Raven 's Inn .",wiki_dev_315
"Thus , LPLs have a free alcohol in either the sn-1 or sn-2 position .","Thus , LPLs have a free alcohol in either , the sn-1 or sn-2 position .","Thus , LPLs have a free alcohol in either {=>,} the sn-1 or sn-2 position .",wiki_test_568
"Many black Canadians today are of Caribbean Ancestry , with some of recent African origin and smaller numbers from Latin American countries .","Many black Canadians today are of Caribbean Ancestry , with some of recent African origin , and smaller numbers from Latin American countries .","Many black Canadians today are of Caribbean Ancestry , with some of recent African origin {=>,} and smaller numbers from Latin American countries .",wiki_test_576
Some people will do crazy things in situation like this .,Some people will do crazy things in situations like this .,Some people will do crazy things in {situation=>situations} like this .,fce_dev_394
"A new technology and science will change fabrics , so they will change their colour during the day .",New technology and science will change fabrics so that they will change color during the day .,"{A new=>New} technology and science will change fabrics {,=>} so {=>that} they will change {their colour=>color} during the day .",fce_dev_125
"Over the years Tarkovsky wrote several screenplay variants , at time working together with Aleksandr Misharin .","Over the years Tarkovsky wrote several screenplay variants , at the time working with Aleksandr Misharin .","Over the years Tarkovsky wrote several screenplay variants , at {=>the} time working {together=>} with Aleksandr Misharin .",wiki_test_915
According to Statistisk sentralbyrå ( SSB ) there were 192 homosexual partnerships recorded in 2004 .,"According to Statistisk sentralbyrå ( SSB ) , there were 192 homosexual partnerships recorded in 2004 .","According to Statistisk sentralbyrå ( SSB ) {=>,} there were 192 homosexual partnerships recorded in 2004 .",wiki_dev_887
"But we have to accept that everyone has their private life for example when we get married or when policeman stop us on the highway , we do n't want any stranger notice that what is happening to us .","But we have to accept that everyone has privacy . For example , when we get married or when police stop us on the highway , we would n't want just any stranger to notice that .","But we have to accept that everyone has {their private life for=>privacy . For} example {=>,} when we get married or when {policeman=>police} stop us on the highway , we {do=>would} n't want {=>just} any stranger {=>to} notice that {what is happening to us=>} .",fce_test_187
"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds , but remained alive .",The first attempt at execution failed : Kemmler was electrocuted for 17 seconds but remained alive .,"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds {,=>} but remained alive .",wiki_dev_683
Now I hope that you can understand my question for some money back because of the trouble I had .,Now I hope that you can understand my request for some money back because of the trouble I had .,Now I hope that you can understand my {question=>request} for some money back because of the trouble I had .,fce_dev_611
"Tipp led by 7 points midway through the half , but Louth , after missing a penalty earlier , scored from their second and made a tight finish .","Tipp led by 7 points midway through the half , but Louth , after missing an earlier penalty , scored from their second and made a tight finish .","Tipp led by 7 points midway through the half , but Louth , after missing {a=>an earlier} penalty {earlier=>} , scored from their second and made a tight finish .",wiki_test_770
Some people have raised concerns that cloud computing could brake EU data protection rules .,Some people have raised concerns that cloud computing could break EU data protection rules .,Some people have raised concerns that cloud computing could {brake=>break} EU data protection rules .,wiki_dev_178
I also would like to get some information about weather .,I also would like to get some information about the weather .,I also would like to get some information about {=>the} weather .,fce_test_234
They just look funny !,They will look funny !,They {just=>will} look funny !,fce_dev_551
"However , much to everyone 's surprise , Oakfield , Okazaki , and S.mouse turn up at Nathan 's farewell party .","However , much to everyone 's surprise , Oakfield , Okazaki , and S.mouse turned up at Nathan 's farewell party .","However , much to everyone 's surprise , Oakfield , Okazaki , and S.mouse {turn=>turned} up at Nathan 's farewell party .",wiki_dev_917
The British Iron Age lasted in theory from the first significant use of iron for tools and weapons in Britain to the Romanization of southern half of the island .,"The British Iron Age lasted , in theory , from the first significant use of iron for tools and weapons in Britain to the Romanization of the southern half of the island .","The British Iron Age lasted {=>,} in theory {=>,} from the first significant use of iron for tools and weapons in Britain to the Romanization of {=>the} southern half of the island .",wiki_test_791
I have not expect it .,I did not expect it .,I {have=>did} not expect it .,fce_dev_527
Can I wash any clothes there ?,Can I wash my clothes there ?,Can I wash {any=>my} clothes there ?,fce_dev_323
"In addition to his judgeship , between 1896 and 1900 Taft also served as the first dean and a orofessor of Constitutional Law at the University of Cincinnati .","In addition to his judgeship , between 1896 and 1900 , Taft also served as the first dean and a professor of Constitutional Law at the University of Cincinnati .","In addition to his judgeship , between 1896 and 1900 {=>,} Taft also served as the first dean and a {orofessor=>professor} of Constitutional Law at the University of Cincinnati .",wiki_test_146
"To make things even worse , the play did n't start at 19 : 30 as it was supposed to but instead it started 45 minutes late , at 20 : 15 , and there were n't even your famous discounts available .","To make things even worse , the play did n't start at 19 : 30 as it was supposed to , but instead it started 45 minutes late , at 20 : 15 , and your famous discounts were n't even available .","To make things even worse , the play did n't start at 19 : 30 as it was supposed to {=>,} but instead it started 45 minutes late , at 20 : 15 , and {there=>your famous discounts} were n't even {your famous discounts=>} available .",fce_test_711
"The Lycée 's secondary school accommodates approximately 309 students on an campus in Bethesda , Maryland , from downtown Washington , D.C .","The Lycée 's secondary school accommodates approximately 309 students on a campus in Bethesda , Maryland , from downtown Washington , D.C .","The Lycée 's secondary school accommodates approximately 309 students on {an=>a} campus in Bethesda , Maryland , from downtown Washington , D.C .",wiki_test_930
"After some intense public debate a local harbor board was established in 1906 and a boom in architectural creativity soon followed during which many of the currently listed heritage buildings St Monicas , Central Hotel etc were constructed .","After some intense public debate , a local harbor board was established in 1906 , and a boom in architectural creativity soon followed during which many of the currently listed heritage buildings, like St. Monica's Central Hotel , etc. were constructed .","After some intense public debate {=>,} a local harbor board was established in 1906 {=>,} and a boom in architectural creativity soon followed during which many of the currently listed heritage {buildings St Monicas ,=>buildings, like St. Monica's} Central Hotel {etc=>, etc.} were constructed .",wiki_test_488
"From March to the current day , he has been involved in a feud with Sting .","From March to today , he has been involved in a feud with Sting .","From March to {the current day=>today} , he has been involved in a feud with Sting .",wiki_dev_781
Bridget Flannery ( 1959- ) is an Irish painter working in an abstract manner .,Bridget Flannery ( 1959- ) is an Irish painter working in an abstract style .,Bridget Flannery ( 1959- ) is an Irish painter working in an abstract {manner=>style} .,wiki_dev_614
"Activities connected with the social programme such as international evenings , sing along parties and indoor games .","There are activities connected with the social program such as international evenings , sing along parties , and indoor games .","{Activities=>There are activities} connected with the social {programme=>program} such as international evenings , sing along parties {=>,} and indoor games .",fce_dev_62
Other thing I have to complement is about the time of the theatre .,Another thing I have a complaint about is the theater 's scheduling .,{Other=>Another} thing I have {to complement=>a complaint about} is {about=>} the {time of the theatre=>theater 's scheduling} .,fce_test_138
The main rivalry heading into Slammiversary was the annually-held King of the Mountain match ( KOTM ) .,The main rivalry heading into Slammiversary was the annually held King of the Mountain match ( KOTM ) .,The main rivalry heading into Slammiversary was the {annually-held=>annually held} King of the Mountain match ( KOTM ) .,wiki_dev_212
"Firstly , I am a fan of Danny Brook so your advert attracted me but when I went there a different actor was in the musical show instead of him .","Firstly , I am a fan of Danny Brook , so your advertisement attracted me ; but when I went , there was a different actor in the musical show .","Firstly , I am a fan of Danny Brook {=>,} so your {advert=>advertisement} attracted me {=>;} but when I went {=>,} there {=>was} a different actor {was=>} in the musical show {instead of him=>} .",fce_dev_579
Mine name is John and I have been in the latest International Arts Festival .,My name is John and I have been in the latest International Arts Festival .,{Mine=>My} name is John and I have been in the latest International Arts Festival .,fce_test_700
I was already happy to help in such a big concert than the Mylene Farmer 's concert .,I was already happy to help with such a big concert as Mylene Farmer .,I was already happy to help {in=>with} such a big concert {than the=>as} Mylene Farmer {'s concert=>} .,fce_dev_842
"Secondly , I would like to tell more about end-of-conference party .","Secondly , I would like to tell you more about the end-of-conference party .","Secondly , I would like to tell {=>you} more about {=>the} end-of-conference party .",fce_dev_780
it will be on the 14th and we all want to go .,It will be on the 14th and we all want to go .,{it=>It} will be on the 14th and we all want to go .,fce_dev_700
Painting is something that I love and I am very good doing it .,"Painting is something that I love , and I am very good at it .","Painting is something that I love {=>,} and I am very good {doing=>at} it .",fce_dev_324
If you are going shopping someone can easily steal your wallet which you are looking at some interesting things .,"If you are going shopping , someone can easily steal your wallet while you are looking at something interesting .","If you are going shopping {=>,} someone can easily steal your wallet {which=>while} you are looking at {some=>something} interesting {things=>} .",fce_dev_530
"Nerva sought to involve the Senate in his government , however this was not entirely successful .","Nerva sought to involve the Senate in his government ; however, he was not entirely successful .","Nerva sought to involve the Senate in his government {, however this=>; however, he} was not entirely successful .",wiki_test_467
"According to the account by the Chechen fighter Dalkhan Kozayev , the attacking forces numbered 42 tanks and 8 BTR-type wheeled APCs , a number of other vehicles , and more than 3,000 men .","According to the account by the Chechen fighter , Dalkhan Kozayev , the attacking forces numbered 42 tanks and 8 BTR-type wheeled APCs , a number of other vehicles , and more than 3,000 men .","According to the account by the Chechen fighter {=>,} Dalkhan Kozayev , the attacking forces numbered 42 tanks and 8 BTR-type wheeled APCs , a number of other vehicles , and more than 3,000 men .",wiki_dev_244
The show can be seen between 10.00 - 19.00 .,The show can be seen between 10 : 00 - 7 : 00 .,The show can be seen between {10.00=>10 : 00} - {19.00=>7 : 00} .,fce_dev_74
I am very indignatged because I wasted my time and it was a horrible evening so I would like you return my money and take notes of all these problems .,"I am very indignant because I wasted my time and it was a horrible evening , so I would like you to return my money and take notes of all these problems .","I am very {indignatged=>indignant} because I wasted my time and it was a horrible evening {=>,} so I would like you {=>to} return my money and take notes of all these problems .",fce_dev_31
Technical and Warm Home People 's way of life has considerably been changed by rapdily developing mordern technology .,Technical and Warm Home People 's way of life has considerably been changed by rapidly developing modern technology .,Technical and Warm Home People 's way of life has considerably been changed by {rapdily=>rapidly} developing {mordern=>modern} technology .,fce_test_480
Mulcair later clarified that he had actually been referring to the rumoured existence of pictures showing Bin Laden reaching for a gun before he was killed .,Mulcair later clarified that he had actually been referring to the rumored existence of pictures showing Bin Laden reaching for a gun before he was killed .,Mulcair later clarified that he had actually been referring to the {rumoured=>rumored} existence of pictures showing Bin Laden reaching for a gun before he was killed .,wiki_test_898
"Lansky had apparently already obtained the approval of the Duke of Windsor for Lansky 's plans to develop gambling on the islands , and was working with Christie , a property developer and Bahamian legislator , and other notable Bahamians , including Stafford Sands ( who served as the jury foreman at the de Marigny murder trial ) ) , to bring this about .","Lansky had apparently already obtained the approval of the Duke of Windsor for Lansky 's plans to develop gambling on the islands and was working with Christie , a property developer and Bahamian legislator , and other notable Bahamians , including Stafford Sands ( who served as the jury foreman at the de Marigny murder trial ) , to bring this about .","Lansky had apparently already obtained the approval of the Duke of Windsor for Lansky 's plans to develop gambling on the islands {,=>} and was working with Christie , a property developer and Bahamian legislator , and other notable Bahamians , including Stafford Sands ( who served as the jury foreman at the de Marigny murder trial ) {)=>} , to bring this about .",wiki_test_215
Version 1.02 was released On 5 December 2008 .,"Version 1.02 was released on December 5 , 2008 .","Version 1.02 was released {On=>on December} 5 {December=>,} 2008 .",wiki_dev_588
"Yesterday as I was arriving home I saw him in your yard Mack , he looked very satisfied , Curly was laying on the grass and ... ""","Yesterday , as I was arriving home , I saw him in your yard , Mack . He looked very satisfied , Curly was laying on the grass , and ... ""","Yesterday {=>,} as I was arriving home {=>,} I saw him in your yard {=>,} Mack {, he=>. He} looked very satisfied , Curly was laying on the grass {=>,} and ... """,fce_test_52
"Richard Lederer , an author and professor of English , reports going to Germany and asking a vendor for a "" heißen Hund "" ( a literal translation of "" hot dog "" ) .","Richard Lederer , an author and English professor , reports going to Germany and asking a vendor for a "" heißen hund "" ( a literal translation of "" hot dog "" ) .","Richard Lederer , an author and {=>English} professor {of English=>} , reports going to Germany and asking a vendor for a "" heißen {Hund=>hund} "" ( a literal translation of "" hot dog "" ) .",wiki_dev_645
"Same Difference were a British pop duo , made up of siblings Sean and Sarah Smith .","Same Difference was a British pop duo , made up of siblings Sean and Sarah Smith .","Same Difference {were=>was} a British pop duo , made up of siblings Sean and Sarah Smith .",wiki_test_407
"To sum up , it is a big school where you have a lot of interesting lessons and some optionaly activities to do in your free time .","To sum up , it is a big school where you have a lot of interesting classes and some optional activities to do in your free time .","To sum up , it is a big school where you have a lot of interesting {lessons=>classes} and some {optionaly=>optional} activities to do in your free time .",fce_test_775
"Obviously , Pat first refused , but then she accepted that she was wrong , and apologyse Maria , after then Pat never again talked about someone within his or her permission .","Obviously , Pat first refused , but then she accepted that she was wrong and apologized to Maria . After that , Pat never again talked about someone without his or her permission .","Obviously , Pat first refused , but then she accepted that she was wrong {=>and apologized to Maria . After that} , {and apologyse Maria , after then=>} Pat never again talked about someone {within=>without} his or her permission .",fce_dev_52
"I think , it was very cleaver of me to record that moment wich I will never ever forget , and that was the think that I more liked of that experience .","I think it was very clever of me to record that moment , which I will never , ever forget , and that was the thing I liked the most out of that experience .","I think {,=>} it was very {cleaver=>clever} of me to record that moment {wich=>, which} I will never {=>,} ever forget , and that was the {think that=>thing} I {more=>} liked {=>the most out} of that experience .",fce_test_669
"The .30 Carbine is a smaller and lighter .30 caliber ( 7.62 mm ) pistol round , very different , in both design and performance , from the .30 - '06 used in the Garand .","The .30 Carbine is a smaller and lighter . 30 caliber ( 7.62 mm ) pistol round , very different , in both design and performance , from the .30 - '06 used in the Garand .","The .30 Carbine is a smaller and lighter {.30=>. 30} caliber ( 7.62 mm ) pistol round , very different , in both design and performance , from the .30 - '06 used in the Garand .",wiki_dev_615
So she asked me to fill her position .,"So , she asked me to fill her position .","So {=>,} she asked me to fill her position .",fce_test_29
"He played for several clubs in Brazil , including ( in chronological order ) Coritiba , Santos , Vitória and Grêmio , and after that , his destiny is uncertain , and it is unknown if he is trully retired .","He played for several clubs in Brazil , including ( in chronological order ) Coritiba , Santos , Vitória , and Grêmio , and after that , his destiny is uncertain , and it is unknown if he is truly retired .","He played for several clubs in Brazil , including ( in chronological order ) Coritiba , Santos , Vitória {=>,} and Grêmio , and after that , his destiny is uncertain , and it is unknown if he is {trully=>truly} retired .",wiki_test_28
Retrospective abum of early singles called ' 1234 The Early Singles ' released 2006 .,"A retrospective album of early singles called "" 1234 : The Early Singles "" was released in 2006 .","{Retrospective abum=>A retrospective album} of early singles called {'=>""} 1234 {=>:} The Early Singles {'=>"" was} released {=>in} 2006 .",wiki_dev_49
The Building 's original cost of $ 200 million was increased to $ 350 million over the course of construction .,The building 's original cost of $ 200 million was increased to $ 350 million over the course of construction .,The {Building=>building} 's original cost of $ 200 million was increased to $ 350 million over the course of construction .,wiki_test_416
"I would like to stress that very often famous people become reserved , bad-tempered and angry with the world for interfering into their lives .","I would like to stress that very often famous people become reserved , bad-tempered , and angry with the world for interfering in their lives .","I would like to stress that very often famous people become reserved , bad-tempered {=>,} and angry with the world for interfering {into=>in} their lives .",fce_test_314
"They have a daughter , Harlow Winter Kate Richie Madden ( born January 11 , 2008 ) and a son , Sparrow James Midnight Richie Madden ( born September 9 , 2009 ) .","They have a daughter , Harlow Winter Kate Richie Madden ( born January 11 , 2008 ) , and a son , Sparrow James Midnight Richie Madden ( born September 9 , 2009 ) .","They have a daughter , Harlow Winter Kate Richie Madden ( born January 11 , 2008 ) {=>,} and a son , Sparrow James Midnight Richie Madden ( born September 9 , 2009 ) .",wiki_test_893
I hope my recommendations will help you in the choice of a building to visit .,I hope my recommendations will help you choose a building to visit .,I hope my recommendations will help you {in the choice of=>choose} a building to visit .,fce_test_320
"Another point is the time when it started , exactly 45 minutes later .",Another point is the time that it started exactly 45 minutes later .,"Another point is the time {when=>that} it started {,=>} exactly 45 minutes later .",fce_test_784
"In 2008 , she was their national ambassador and worked along side construction companies to build 280 energy efficient homes in a week .","In 2008 , she was their national ambassador and worked alongside construction companies to build 280 energy efficient homes in a week .","In 2008 , she was their national ambassador and worked {along side=>alongside} construction companies to build 280 energy efficient homes in a week .",wiki_test_586
When the show started the person who was acting it was not Danny Brook and he seemed not to be an actor .,When the show started the person who was acting was not Danny Brook and he seemed not to be an actor .,When the show started the person who was acting {it=>} was not Danny Brook and he seemed not to be an actor .,fce_test_806
"Since , the Orioles have played its home games at Oriole Park at Camden Yards .","Since , the Orioles have played their home games at Oriole Park at Camden Yards .","Since , the Orioles have played {its=>their} home games at Oriole Park at Camden Yards .",wiki_test_688
"His appeal rejected , Cromwell 's veteran troops went on to defeat Scottish armies at the Dunbar and the Worcester .","With his appeal rejected , Cromwell 's veteran troops went on to defeat Scottish armies at the Dunbar and the Worcester .","{His=>With his} appeal rejected , Cromwell 's veteran troops went on to defeat Scottish armies at the Dunbar and the Worcester .",wiki_dev_59
the rules at home are very different .,The rules at home are very different .,{the=>The} rules at home are very different .,fce_dev_29
""" Since 2001 this petition has generated signatures from 400 scientists from around the world , which unfortunatley only contains 73 biologists .","Since 2001 this petition has generated signatures from 400 scientists from around the world , which unfortunately only contains 73 biologists .","{""=>} Since 2001 this petition has generated signatures from 400 scientists from around the world , which {unfortunatley=>unfortunately} only contains 73 biologists .",wiki_test_802
"Sexes are similar , but immatures are paler and duller .","The sexes are similar , but the more immature are paler and duller .","{Sexes=>The sexes} are similar , but {immatures=>the more immature} are paler and duller .",wiki_test_843
"Goldsmith stood no chance of victory , but the declaration made one a memorable moment - Mellor lost his seat to the Labour candidate and was taunted by Goldsmith who clapped his hands slowly and chanted "" out , out , out !","Goldsmith stood no chance of victory , but the declaration created one memorable moment - Mellor lost his seat to the Labour candidate and was taunted by Goldsmith , who clapped his hands slowly and chanted, "" Out , out , out ! ""","Goldsmith stood no chance of victory , but the declaration {made=>created} one {a=>} memorable moment - Mellor lost his seat to the Labour candidate and was taunted by Goldsmith {=>,} who clapped his hands slowly and {chanted=>chanted,} "" {out=>Out} , out , out ! {=>""}",wiki_dev_528
"For $ 500 per week he would draw twenty-five sketches in fifteen minutes before live audiences , with a pit band playing a piece called "" Dream of the Rarebit Fiend "" in the background .","For $ 500 per week , he would draw twenty-five sketches in fifteen minutes before live audiences , with a pit band playing a piece called "" Dream of the Rarebit Fiend "" in the background .","For $ 500 per week {=>,} he would draw twenty-five sketches in fifteen minutes before live audiences , with a pit band playing a piece called "" Dream of the Rarebit Fiend "" in the background .",wiki_dev_340
"The oersted is defined as 1000 / 4π ( ≈ 79.5774715 ) ampere-turnss per meter of flux path , in terms of SI units .","The oersted is defined as 1000 / 4π ( ≈ 79.5774715 ) ampere-turnss per meter of flux path , in terms of SI units","The oersted is defined as 1000 / 4π ( ≈ 79.5774715 ) ampere-turnss per meter of flux path , in terms of SI units {.=>}",wiki_test_940
"On some copies of the DVD , as Baltz completes the line , a voice can be heard off-screen saying "" Oh , no , no ... "" The ad-lib also compounded Madsen 's reluctance to film the scene to begin with , due to his real-life aversion to violence .","On some copies of the DVD , as Baltz completes the line , a voice can be heard off-screen saying , "" Oh , no , no ... "" The ad-lib also compounded Madsen 's reluctance to film the scene to begin with , due to his real-life aversion to violence .","On some copies of the DVD , as Baltz completes the line , a voice can be heard off-screen saying {=>,} "" Oh , no , no ... "" The ad-lib also compounded Madsen 's reluctance to film the scene to begin with , due to his real-life aversion to violence .",wiki_test_885
