id,errant_original_start,errant_original_end,errant_original_string,errant_revised_start,errant_revised_end,errant_revised_string,errant_error_type,algorithm_n_revisions,original,revised,algorithm_aligned
wiki_dev_120,30,30,,30,31,",",M:PUNCT,1,"If any developer of an application that could be used by a Californian does n't display a privacy policy statement when their application is installed they are breaking California law and could be fined $ 2,500 for every download .","If any developer of an application that could be used by a Californian does n't display a privacy policy statement when their application is installed they are breaking California law , and could be fined $ 2,500 for every download .","If any developer of an application that could be used by a Californian does n't display a privacy policy statement when their application is installed they are breaking California law {=>,} and could be fined $ 2,500 for every download ."
wiki_test_790,19,20,honoured,19,20,honored,R:VERB,2,"In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and honoured as part of the in [ 100 .","In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and honored as part of the 100 .","In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and {honoured=>honored} as part of the {in [=>} 100 ."
wiki_test_790,24,26,in [,24,24,,U:OTHER,2,"In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and honoured as part of the in [ 100 .","In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and honored as part of the 100 .","In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and {honoured=>honored} as part of the {in [=>} 100 ."
fce_test_269,3,4,proposed,3,4,propose,R:VERB:TENSE,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,7,8,programme,7,8,program,R:MORPH,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,10,11,;,10,11,:,R:PUNCT,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,14,18,", instead of shopping",14,14,,U:OTHER,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,25,25,,21,22,",",M:PUNCT,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,26,28,we could,23,23,,U:OTHER,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,33,34,",",28,29,instead,R:OTHER,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
wiki_dev_482,17,18,',17,17,,U:PUNCT,1,""" To top this , "" low economic status can exacerbate all these factors , placing impoverished ' children at particular risk for cognitive impairment later in life .",""" To top this , "" low economic status can exacerbate all these factors , placing impoverished children at particular risk for cognitive impairment later in life .",""" To top this , "" low economic status can exacerbate all these factors , placing impoverished {'=>} children at particular risk for cognitive impairment later in life ."
fce_dev_309,9,10,satisfing,9,10,satisfying,R:SPELL,2,"In my view , it was extremely interesting and satisfing for me all the concert long .","In my view , it was extremely interesting and satisfying for me all concert long .","In my view , it was extremely interesting and {satisfing=>satisfying} for me all {the=>} concert long ."
fce_dev_309,13,14,the,13,13,,U:DET,2,"In my view , it was extremely interesting and satisfing for me all the concert long .","In my view , it was extremely interesting and satisfying for me all concert long .","In my view , it was extremely interesting and {satisfing=>satisfying} for me all {the=>} concert long ."
wiki_dev_771,4,4,,4,5,",",M:PUNCT,2,"It contained hit single "" Uzi ( Pinky Ring ) "" and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) .","It contained hit single , "" Uzi ( Pinky Ring ) "" , and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) .","It contained hit single {=>,} "" Uzi ( Pinky Ring ) "" {=>,} and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) ."
wiki_dev_771,11,11,,12,13,",",M:PUNCT,2,"It contained hit single "" Uzi ( Pinky Ring ) "" and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) .","It contained hit single , "" Uzi ( Pinky Ring ) "" , and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) .","It contained hit single {=>,} "" Uzi ( Pinky Ring ) "" {=>,} and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) ."
fce_dev_501,1,2,student,1,2,students,R:NOUN:NUM,3,Most student who were interviewed suggested to have a speaking part of the lesson to be on film .,Most students who were interviewed suggested filming the speaking part of the lesson .,Most {student=>students} who were interviewed suggested {to have a=>filming the} speaking part of the lesson {to be on film=>} .
fce_dev_501,6,7,to,6,7,filming,R:VERB,3,Most student who were interviewed suggested to have a speaking part of the lesson to be on film .,Most students who were interviewed suggested filming the speaking part of the lesson .,Most {student=>students} who were interviewed suggested {to have a=>filming the} speaking part of the lesson {to be on film=>} .
fce_dev_501,7,8,have,7,8,the,R:OTHER,3,Most student who were interviewed suggested to have a speaking part of the lesson to be on film .,Most students who were interviewed suggested filming the speaking part of the lesson .,Most {student=>students} who were interviewed suggested {to have a=>filming the} speaking part of the lesson {to be on film=>} .
fce_dev_501,8,9,a,8,8,,U:DET,3,Most student who were interviewed suggested to have a speaking part of the lesson to be on film .,Most students who were interviewed suggested filming the speaking part of the lesson .,Most {student=>students} who were interviewed suggested {to have a=>filming the} speaking part of the lesson {to be on film=>} .
fce_dev_501,14,18,to be on film,13,13,,U:OTHER,3,Most student who were interviewed suggested to have a speaking part of the lesson to be on film .,Most students who were interviewed suggested filming the speaking part of the lesson .,Most {student=>students} who were interviewed suggested {to have a=>filming the} speaking part of the lesson {to be on film=>} .
wiki_dev_238,1,2,Collection.This,1,3,Collection. This,R:ORTH,4,"Personal Collection.This is probably N1334U taken at Orlando , Florida in april 1973 .","Personal Collection. This is probably N1334U , taken at Orlando , Florida , in April 1973 .","Personal {Collection.This=>Collection. This} is probably N1334U {=>,} taken at Orlando , Florida {=>,} in {april=>April} 1973 ."
wiki_dev_238,5,5,,6,7,",",M:PUNCT,4,"Personal Collection.This is probably N1334U taken at Orlando , Florida in april 1973 .","Personal Collection. This is probably N1334U , taken at Orlando , Florida , in April 1973 .","Personal {Collection.This=>Collection. This} is probably N1334U {=>,} taken at Orlando , Florida {=>,} in {april=>April} 1973 ."
wiki_dev_238,10,10,,12,13,",",M:PUNCT,4,"Personal Collection.This is probably N1334U taken at Orlando , Florida in april 1973 .","Personal Collection. This is probably N1334U , taken at Orlando , Florida , in April 1973 .","Personal {Collection.This=>Collection. This} is probably N1334U {=>,} taken at Orlando , Florida {=>,} in {april=>April} 1973 ."
wiki_dev_238,11,12,april,14,15,April,R:ORTH,4,"Personal Collection.This is probably N1334U taken at Orlando , Florida in april 1973 .","Personal Collection. This is probably N1334U , taken at Orlando , Florida , in April 1973 .","Personal {Collection.This=>Collection. This} is probably N1334U {=>,} taken at Orlando , Florida {=>,} in {april=>April} 1973 ."
wiki_dev_788,7,8,metres,7,8,meters,R:MORPH,1,"While AMT penetrates to only several hundred metres , AMT measurements take only about one hour to perform and use smaller and lighter magnetic sensors .","While AMT penetrates to only several hundred meters , AMT measurements take only about one hour to perform and use smaller and lighter magnetic sensors .","While AMT penetrates to only several hundred {metres=>meters} , AMT measurements take only about one hour to perform and use smaller and lighter magnetic sensors ."
fce_dev_766,8,9,prize,8,9,place,R:NOUN,1,I am very happy to have won first prize in your competition .,I am very happy to have won first place in your competition .,I am very happy to have won first {prize=>place} in your competition .
wiki_dev_842,21,22,",",21,21,,U:PUNCT,2,"The game was later released for PlayStation 2 on November 15 , 2001 , and a Sega Dreamcast port was planned , but cancelled as the machine 's popularity waned .","The game was later released for PlayStation 2 on November 15 , 2001 , and a Sega Dreamcast port was planned but cancelled as the machine 's popularity diminished .","The game was later released for PlayStation 2 on November 15 , 2001 , and a Sega Dreamcast port was planned {,=>} but cancelled as the machine 's popularity {waned=>diminished} ."
wiki_dev_842,29,30,waned,28,29,diminished,R:VERB,2,"The game was later released for PlayStation 2 on November 15 , 2001 , and a Sega Dreamcast port was planned , but cancelled as the machine 's popularity waned .","The game was later released for PlayStation 2 on November 15 , 2001 , and a Sega Dreamcast port was planned but cancelled as the machine 's popularity diminished .","The game was later released for PlayStation 2 on November 15 , 2001 , and a Sega Dreamcast port was planned {,=>} but cancelled as the machine 's popularity {waned=>diminished} ."
fce_test_113,2,3,at,2,3,in,R:PREP,3,I arrived at Ireland on 2th July .,I arrived in Ireland on July 2nd .,I arrived {at=>in} Ireland on {2th=>} July {=>2nd} .
fce_test_113,5,6,2th,5,5,,U:ADJ,3,I arrived at Ireland on 2th July .,I arrived in Ireland on July 2nd .,I arrived {at=>in} Ireland on {2th=>} July {=>2nd} .
fce_test_113,7,7,,6,7,2nd,M:NOUN,3,I arrived at Ireland on 2th July .,I arrived in Ireland on July 2nd .,I arrived {at=>in} Ireland on {2th=>} July {=>2nd} .
fce_test_268,6,6,,6,7,out,M:PART,1,I was disappointed when I found the actor was n't Danny Brook !,I was disappointed when I found out the actor was n't Danny Brook !,I was disappointed when I found {=>out} the actor was n't Danny Brook !
fce_test_43,2,2,,2,3,a,M:DET,3,I am representative of our class in your college to write to you .,I am a representative of our class writing to you at your college .,I am {=>a} representative of our class {in=>writing to you at} your college {to write to you=>} .
fce_test_43,6,9,in your college,7,7,,U:OTHER,3,I am representative of our class in your college to write to you .,I am a representative of our class writing to you at your college .,I am {=>a} representative of our class {in=>writing to you at} your college {to write to you=>} .
fce_test_43,9,11,to write,7,8,writing,R:VERB:FORM,3,I am representative of our class in your college to write to you .,I am a representative of our class writing to you at your college .,I am {=>a} representative of our class {in=>writing to you at} your college {to write to you=>} .
fce_test_43,13,13,,10,13,at your college,M:OTHER,3,I am representative of our class in your college to write to you .,I am a representative of our class writing to you at your college .,I am {=>a} representative of our class {in=>writing to you at} your college {to write to you=>} .
wiki_test_614,10,11,once,10,11,Once,R:ORTH,6,"Even though he was not one of the original "" once hermano "" or "" eleventh brother "" Horacio Casarìn , was one a formatable player in the Mexican league national ranks , Casarin great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" Once Hermanos "" or "" Eleven Brothers , "" Horacio Casarìn was once a formidable player in the Mexican league national ranks , Casarin's great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" {once hermano=>Once Hermanos} "" or "" {eleventh brother=>Eleven Brothers ,} "" Horacio Casarìn {,=>} was {one=>once} a {formatable=>formidable} player in the Mexican league national ranks , {Casarin=>Casarin's} great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema ."
wiki_test_614,11,12,hermano,11,12,Hermanos,R:SPELL,6,"Even though he was not one of the original "" once hermano "" or "" eleventh brother "" Horacio Casarìn , was one a formatable player in the Mexican league national ranks , Casarin great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" Once Hermanos "" or "" Eleven Brothers , "" Horacio Casarìn was once a formidable player in the Mexican league national ranks , Casarin's great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" {once hermano=>Once Hermanos} "" or "" {eleventh brother=>Eleven Brothers ,} "" Horacio Casarìn {,=>} was {one=>once} a {formatable=>formidable} player in the Mexican league national ranks , {Casarin=>Casarin's} great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema ."
wiki_test_614,15,16,eleventh,15,16,Eleven,R:OTHER,6,"Even though he was not one of the original "" once hermano "" or "" eleventh brother "" Horacio Casarìn , was one a formatable player in the Mexican league national ranks , Casarin great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" Once Hermanos "" or "" Eleven Brothers , "" Horacio Casarìn was once a formidable player in the Mexican league national ranks , Casarin's great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" {once hermano=>Once Hermanos} "" or "" {eleventh brother=>Eleven Brothers ,} "" Horacio Casarìn {,=>} was {one=>once} a {formatable=>formidable} player in the Mexican league national ranks , {Casarin=>Casarin's} great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema ."
wiki_test_614,16,17,brother,16,17,Brothers,R:MORPH,6,"Even though he was not one of the original "" once hermano "" or "" eleventh brother "" Horacio Casarìn , was one a formatable player in the Mexican league national ranks , Casarin great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" Once Hermanos "" or "" Eleven Brothers , "" Horacio Casarìn was once a formidable player in the Mexican league national ranks , Casarin's great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" {once hermano=>Once Hermanos} "" or "" {eleventh brother=>Eleven Brothers ,} "" Horacio Casarìn {,=>} was {one=>once} a {formatable=>formidable} player in the Mexican league national ranks , {Casarin=>Casarin's} great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema ."
wiki_test_614,17,17,,17,18,",",M:PUNCT,6,"Even though he was not one of the original "" once hermano "" or "" eleventh brother "" Horacio Casarìn , was one a formatable player in the Mexican league national ranks , Casarin great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" Once Hermanos "" or "" Eleven Brothers , "" Horacio Casarìn was once a formidable player in the Mexican league national ranks , Casarin's great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" {once hermano=>Once Hermanos} "" or "" {eleventh brother=>Eleven Brothers ,} "" Horacio Casarìn {,=>} was {one=>once} a {formatable=>formidable} player in the Mexican league national ranks , {Casarin=>Casarin's} great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema ."
wiki_test_614,20,21,",",21,21,,U:PUNCT,6,"Even though he was not one of the original "" once hermano "" or "" eleventh brother "" Horacio Casarìn , was one a formatable player in the Mexican league national ranks , Casarin great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" Once Hermanos "" or "" Eleven Brothers , "" Horacio Casarìn was once a formidable player in the Mexican league national ranks , Casarin's great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" {once hermano=>Once Hermanos} "" or "" {eleventh brother=>Eleven Brothers ,} "" Horacio Casarìn {,=>} was {one=>once} a {formatable=>formidable} player in the Mexican league national ranks , {Casarin=>Casarin's} great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema ."
wiki_test_614,22,23,one,22,23,once,R:SPELL,6,"Even though he was not one of the original "" once hermano "" or "" eleventh brother "" Horacio Casarìn , was one a formatable player in the Mexican league national ranks , Casarin great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" Once Hermanos "" or "" Eleven Brothers , "" Horacio Casarìn was once a formidable player in the Mexican league national ranks , Casarin's great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" {once hermano=>Once Hermanos} "" or "" {eleventh brother=>Eleven Brothers ,} "" Horacio Casarìn {,=>} was {one=>once} a {formatable=>formidable} player in the Mexican league national ranks , {Casarin=>Casarin's} great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema ."
wiki_test_614,24,25,formatable,24,25,formidable,R:SPELL,6,"Even though he was not one of the original "" once hermano "" or "" eleventh brother "" Horacio Casarìn , was one a formatable player in the Mexican league national ranks , Casarin great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" Once Hermanos "" or "" Eleven Brothers , "" Horacio Casarìn was once a formidable player in the Mexican league national ranks , Casarin's great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" {once hermano=>Once Hermanos} "" or "" {eleventh brother=>Eleven Brothers ,} "" Horacio Casarìn {,=>} was {one=>once} a {formatable=>formidable} player in the Mexican league national ranks , {Casarin=>Casarin's} great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema ."
wiki_test_614,33,34,Casarin,33,34,Casarin's,R:SPELL,6,"Even though he was not one of the original "" once hermano "" or "" eleventh brother "" Horacio Casarìn , was one a formatable player in the Mexican league national ranks , Casarin great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" Once Hermanos "" or "" Eleven Brothers , "" Horacio Casarìn was once a formidable player in the Mexican league national ranks , Casarin's great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema .","Even though he was not one of the original "" {once hermano=>Once Hermanos} "" or "" {eleventh brother=>Eleven Brothers ,} "" Horacio Casarìn {,=>} was {one=>once} a {formatable=>formidable} player in the Mexican league national ranks , {Casarin=>Casarin's} great ability and qualities as a striker , propelled him to succeed and excel on the field , his success even took him to the big screen in Mexican Cinema ."
wiki_test_329,4,6,ritual school,4,6,Ritual School,R:ORTH,2,"The "" Myth and ritual school "" is the name given to a series of authors that have focused their philological studies on the "" ritual purposes of myths .","The "" Myth and Ritual School "" is the name given to a series of authors that have focused their philological studies on the "" ritual purposes of myths. ""","The "" Myth and {ritual school=>Ritual School} "" is the name given to a series of authors that have focused their philological studies on the "" ritual purposes of {myths .=>myths. ""}"
wiki_test_329,28,29,myths,28,29,myths.,R:NOUN,2,"The "" Myth and ritual school "" is the name given to a series of authors that have focused their philological studies on the "" ritual purposes of myths .","The "" Myth and Ritual School "" is the name given to a series of authors that have focused their philological studies on the "" ritual purposes of myths. ""","The "" Myth and {ritual school=>Ritual School} "" is the name given to a series of authors that have focused their philological studies on the "" ritual purposes of {myths .=>myths. ""}"
wiki_test_329,29,30,.,29,30,"""",R:PUNCT,2,"The "" Myth and ritual school "" is the name given to a series of authors that have focused their philological studies on the "" ritual purposes of myths .","The "" Myth and Ritual School "" is the name given to a series of authors that have focused their philological studies on the "" ritual purposes of myths. ""","The "" Myth and {ritual school=>Ritual School} "" is the name given to a series of authors that have focused their philological studies on the "" ritual purposes of {myths .=>myths. ""}"
wiki_test_460,27,27,,27,28,",",M:PUNCT,6,"While Euclidean geometry , the Standard Model and general relativity are all compatible with any number of spatial dimensions and any specification as to which of these if any are compactified ( see string theory ) , and while all bar Euclidean geometry ( which does not distinguish space from time ) insist on exactly one temporal dimension , proposed alternatives , none of which are yet part of scientific consensus , differ significantly in their predictions or lack thereof as to these details of space-time .","While Euclidean geometry , the Standard Model and general relativity are all compatible with any number of spatial dimensions and any specification as to which of these , if any , are compactified ( see string theory ) ; and while all but Euclidean geometry ( which does not distinguish space from time ) insist on exactly one temporal dimension , proposed alternatives , none of which are yet part of scientific consensus , differ significantly in their predictions , or lack thereof , as to these details of space-time .","While Euclidean geometry , the Standard Model and general relativity are all compatible with any number of spatial dimensions and any specification as to which of these {=>,} if any {=>,} are compactified ( see string theory ) {,=>;} and while all {bar=>but} Euclidean geometry ( which does not distinguish space from time ) insist on exactly one temporal dimension , proposed alternatives , none of which are yet part of scientific consensus , differ significantly in their predictions {=>,} or lack thereof {=>,} as to these details of space-time ."
wiki_test_460,29,29,,30,31,",",M:PUNCT,6,"While Euclidean geometry , the Standard Model and general relativity are all compatible with any number of spatial dimensions and any specification as to which of these if any are compactified ( see string theory ) , and while all bar Euclidean geometry ( which does not distinguish space from time ) insist on exactly one temporal dimension , proposed alternatives , none of which are yet part of scientific consensus , differ significantly in their predictions or lack thereof as to these details of space-time .","While Euclidean geometry , the Standard Model and general relativity are all compatible with any number of spatial dimensions and any specification as to which of these , if any , are compactified ( see string theory ) ; and while all but Euclidean geometry ( which does not distinguish space from time ) insist on exactly one temporal dimension , proposed alternatives , none of which are yet part of scientific consensus , differ significantly in their predictions , or lack thereof , as to these details of space-time .","While Euclidean geometry , the Standard Model and general relativity are all compatible with any number of spatial dimensions and any specification as to which of these {=>,} if any {=>,} are compactified ( see string theory ) {,=>;} and while all {bar=>but} Euclidean geometry ( which does not distinguish space from time ) insist on exactly one temporal dimension , proposed alternatives , none of which are yet part of scientific consensus , differ significantly in their predictions {=>,} or lack thereof {=>,} as to these details of space-time ."
